         93881 function calls (93668 primitive calls) in 3.223 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       32    0.001    0.000    0.003    0.000 /Users/matheusfontana/Documents/repos/python-cpu-profiling/venv/lib/python3.11/site-packages/aiohttp/tcp_helpers.py:24(tcp_nodelay)
       32    0.001    0.000    0.003    0.000 /Users/matheusfontana/Documents/repos/python-cpu-profiling/venv/lib/python3.11/site-packages/aiohttp/base_protocol.py:66(connection_made)
     2171    0.001    0.000    0.001    0.000 {method 'popleft' of 'collections.deque' objects}
       46    0.001    0.000    0.001    0.000 {method 'shutdown' of '_ssl._SSLSocket' objects}
       33    0.001    0.000    0.002    0.000 /Users/matheusfontana/Documents/repos/python-cpu-profiling/venv/lib/python3.11/site-packages/aiohttp/streams.py:210(feed_eof)
      197    0.001    0.000    0.004    0.000 /Users/matheusfontana/Documents/repos/python-cpu-profiling/venv/lib/python3.11/site-packages/aiohttp/helpers.py:743(set_result)
      642    0.001    0.000    0.001    0.000 {built-in method builtins.min}
       86    0.000    0.000    0.079    0.001 /Users/matheusfontana/.pyenv/versions/3.11.7/lib/python3.11/asyncio/sslproto.py:555(_do_handshake)
      113    0.000    0.000    0.001    0.000 /Users/matheusfontana/.pyenv/versions/3.11.7/lib/python3.11/asyncio/events.py:147(cancel)
       35    0.000    0.000    0.001    0.000 /Users/matheusfontana/Documents/repos/python-cpu-profiling/venv/lib/python3.11/site-packages/yarl/_url.py:142(encode_url)
      125    0.000    0.000    0.002    0.000 /Users/matheusfontana/.pyenv/versions/3.11.7/lib/python3.11/asyncio/base_events.py:733(call_at)
      144    0.000    0.000    0.061    0.000 {method 'send' of 'coroutine' objects}
     1671    0.000    0.000    0.000    0.000 /Users/matheusfontana/.pyenv/versions/3.11.7/lib/python3.11/asyncio/base_events.py:1940(get_debug)
      317    0.000    0.000    0.000    0.000 /Users/matheusfontana/Documents/repos/python-cpu-profiling/venv/lib/python3.11/site-packages/aiohttp/client_proto.py:210(_reschedule_timeout)
      391    0.000    0.000    0.001    0.000 /Users/matheusfontana/.pyenv/versions/3.11.7/lib/python3.11/http/cookies.py:309(__setitem__)
       64    0.000    0.000    0.000    0.000 {method 'setsockopt' of '_socket.socket' objects}
       32    0.000    0.000    0.001    0.000 /Users/matheusfontana/.pyenv/versions/3.11.7/lib/python3.11/asyncio/selector_events.py:764(__init__)
     1007    0.000    0.000    0.000    0.000 /Users/matheusfontana/.pyenv/versions/3.11.7/lib/python3.11/asyncio/base_events.py:517(_check_closed)
     1260    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
